,k,mean_sum_sq_ds_MDS,mean_sum_sq_ds_t_SNE,mean_sum_sq_ds_PCA,silhouette_Score
2,2.0,575.1444517170299,231841.86783009034,196.22397031645903,0.18654028464861303
3,3.0,426.90724104453165,87496.35475103847,131.491006773436,0.19154952618217486
4,4.0,290.236766375373,87495.64255493662,83.8271245039012,0.1930409105370104
5,5.0,242.48817873761232,55391.93779506367,58.42465188733102,0.18624663773177863
6,6.0,199.72628258118905,47764.49839325575,50.43277287646779,0.19850085496727474
7,7.0,258.2104449945108,34571.39246042805,41.95231338482231,0.21708925328696158
8,8.0,214.95275342623114,39538.111434247956,52.96389643985762,0.2176980105560144
9,9.0,234.91488599886281,30374.578875206254,49.65800156384181,0.2194449693074667
10,10.0,199.89280246063987,40998.4793812315,38.682481563618786,0.22446019723826183
11,11.0,186.13912794787,28750.815075147,43.36622515698202,0.20861440915900045
12,12.0,146.40587259605985,20055.43412531032,35.95125579727832,0.22432841758865596
13,13.0,217.7204885856632,17528.460067410888,40.41587446170801,0.2364906992280349
14,14.0,120.972900828415,24671.579008052075,21.1446137077758,0.22916285765450972
15,15.0,141.7146523429953,11696.631700341386,21.156317489911935,0.2541354196219442
16,16.0,155.99618923261713,43899.91281929668,26.740718615945116,0.2654761349266997
17,17.0,108.53653580015607,15092.997614826183,23.29226871377018,0.26252280786311727
18,18.0,119.6551454376682,11243.056925753595,26.271289506816963,0.2711336544939891
19,19.0,140.49082385575056,17556.748292628537,23.91403858889269,0.2784078944133194
20,20.0,176.098387625302,11835.584447616526,24.762145046917748,0.28253911357257955
21,21.0,112.20529940553017,10295.391254173197,23.128707567298846,0.2729336034118635
22,22.0,176.93790993856672,13728.905288391077,17.402795190933787,0.28738373621404223
23,23.0,121.48443481583787,6859.3486908525265,22.46039389620149,0.27387537429230707
24,24.0,95.19186938660293,7768.50432318937,18.170500136849572,0.29769085192011113
25,25.0,116.18849538963286,6250.499089160613,15.373465367139266,0.2970191602078026
26,26.0,134.6110052313323,13598.435088501139,18.47173151612342,0.29380491868210784
27,27.0,143.41032060561494,11648.743093274814,25.407035992496155,0.30365579784187147
28,28.0,107.53967656910312,12862.222485114258,17.860436991204985,0.29088383383878036
29,29.0,106.93858100487608,16060.62605666479,20.259030030061357,0.3165126849396178
30,30.0,82.2582152959717,7917.479259168412,12.54409422234648,0.34513148106804414
